trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
113,0,113,0,225.478809799999,,225.44025200000033,10,225.478809799999,225.478809799999,0.022764700002881,228.69787609999912,[0.06296296296296296],[0.38425925925925924],[1],[0],[0],[3.234921100000065],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
114,0,114,0,228.71570359999896,,228.69998080000005,5,228.71570359999896,228.71570359999896,0.010135900000022957,229.93601639999906,[0.2722222222222222],[0.09537037037037037],[1],[0],[0],[1.226075700000365],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
115,0,115,0,229.96967810000206,,229.93822880000153,10,229.96967810000206,229.96967810000206,0.01986600000236649,232.0028999999995,[-0.39166666666666666],[-0.014814814814814815],[1],[0],[0],[2.0447740000017802],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
116,0,116,0,232.0417344000016,,232.00582000000213,10,232.0417344000016,232.0417344000016,0.020832800000789575,234.36524500000087,[0.3509259259259259],[0.3787037037037037],[1],[0],[0],[2.3389045000003534],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
117,0,117,0,234.384455899999,,234.3675414999998,5,234.384455899999,234.384455899999,0.010374900000897469,235.48156150000068,[0.5231481481481481],[-0.08796296296296297],[1],[0],[0],[1.1038477000001876],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
118,0,118,0,235.50174340000012,,235.48370480000085,5,235.50174340000012,235.50174340000012,0.010283999999955995,237.48032969999986,[0.09814814814814815],[-0.07592592592592592],[1],[0],[0],[1.9863529000031122],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
119,0,119,0,237.5245001000003,,237.483589200001,10,237.5245001000003,237.5245001000003,0.025887600000714883,238.82902900000045,[0.38425925925925924],[-0.12037037037037036],[1],[0],[0],[1.3199347999980091],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
120,0,120,0,238.86830220000047,,238.83118040000045,10,238.86830220000047,238.86830220000047,0.02198080000016489,240.1283336000015,[0.22407407407407406],[-0.14166666666666666],[1],[0],[0],[1.2753655000014987],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
121,0,121,0,240.1717415000021,,240.1305680000005,10,240.1717415000021,240.1717415000021,0.019734800000151154,241.57231020000108,[0.18333333333333332],[0.10462962962962963],[1],[0],[0],[1.422056799998245],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
122,0,122,0,241.5925083000002,,241.57447390000016,5,241.5925083000002,241.5925083000002,0.010468299999047304,242.6948846000014,[-0.1388888888888889],[0.24814814814814815],[1],[0],[0],[1.109916900000826],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
123,0,123,0,242.73556400000234,,242.69803780000075,10,242.73556400000234,242.73556400000234,0.023824299998523202,243.87587310000163,[-0.3592592592592593],[0.42685185185185187],[1],[0],[0],[1.1544290999991063],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
124,0,124,0,243.89587630000096,,243.8780579000013,5,243.89587630000096,243.89587630000096,0.010172099999181228,245.69223469999997,[-0.23796296296296296],[-0.19074074074074074],[1],[0],[0],[1.804180399998586],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
125,0,125,0,245.72903399999996,,245.6943252000019,10,245.72903399999996,245.72903399999996,0.02031669999996666,248.422964100002,[0.24166666666666667],[-0.10277777777777777],[1],[0],[0],[2.7084920999986934],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
126,0,126,0,248.46224590000202,,248.42513400000098,10,248.46224590000202,248.46224590000202,0.020118799999181647,250.7548209000015,[0.18518518518518517],[0.4111111111111111],[1],[0],[0],[2.3097596999978123],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
127,0,127,0,250.79851899999994,,250.75702250000177,10,250.79851899999994,250.79851899999994,0.019606500001827953,253.41958870000235,[0.022222222222222223],[-0.3787037037037037],[1],[0],[0],[2.6431607000013173],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
128,0,128,0,253.4387612999999,,253.42183220000152,5,253.4387612999999,253.4387612999999,0.010417199999210425,257.1682069000017,[-0.11851851851851852],[0.5],[1],[0],[0],[3.73613430000114],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
129,0,129,0,257.18647070000225,,257.17060459999993,5,257.18647070000225,257.18647070000225,0.010197099996730685,258.3508447999993,[0.28425925925925927],[0.17222222222222222],[1],[0],[0],[1.170133800002077],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
130,0,130,0,258.38488159999906,,258.3530114999994,10,258.38488159999906,258.38488159999906,0.01976970000032452,261.1822226000004,[-0.5231481481481481],[-0.09259259259259259],[1],[0],[0],[2.809592600002361],[],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
131,0,131,0,261.20312919999924,,261.18439950000175,5,261.20312919999924,261.20312919999924,0.010725200001616031,262.58071220000056,[0.42962962962962964],[0.08981481481481482],[1],[0],[0],[1.3857930999984092],['target'],278390,001,2024-10-08_12h53.29.987,visualsearch,2024.1.5,None,2024-10-08 12h53.36.134334 +0530,
